date,season,away_team,home_team,away_pts,home_pts,home_win,open_spread,close_spread,open_total,close_total,away_ml,home_ml,away_ml_prob,home_ml_prob,overround,home_fair_prob
2007-11-30,2008,Milwaukee,NewYork,88,91,1,,194.5,193.0,1.0,-120,100,0.5455,0.5,1.0455,0.4782
2007-11-30,2008,SanAntonio,Minnesota,106,91,0,193.0,192.0,9.5,10.0,-600,475,0.8571,0.1739,1.031,0.1687
2007-11-30,2008,Boston,Miami,95,85,0,188.5,185.0,2.5,2.5,-145,125,0.5918,0.4444,1.0362,0.4289
2007-11-30,2008,Portland,Dallas,80,91,1,12.5,13.0,197.5,198.5,850,-1300,0.1053,0.9286,1.0339,0.8982
2007-11-30,2008,LALakers,Utah,96,120,1,8.0,5.0,212.5,209.0,190,-230,0.3448,0.697,1.0418,0.669
2007-11-30,2008,Orlando,Phoenix,106,110,1,5.0,5.5,212.5,215.5,190,-230,0.3448,0.697,1.0418,0.669
2007-11-30,2008,Indiana,Seattle,93,95,1,213.5,212.0,2.5,2.0,-125,105,0.5556,0.4878,1.0434,0.4675
2007-11-30,2008,LAClippers,Denver,107,123,1,9.5,9.5,205.5,208.0,400,-500,0.2,0.8333,1.0333,0.8064
2007-12-01,2008,Toronto,Washington,97,101,1,198.0,3.0,1.0,194.0,135,-155,0.4255,0.6078,1.0333,0.5882
2007-12-01,2008,Philadelphia,NewJersey,92,94,1,8.0,7.5,184.5,182.5,290,-350,0.2564,0.7778,1.0342,0.7521
2007-12-01,2008,Minnesota,Memphis,80,109,1,9.0,9.0,210.0,211.0,370,-450,0.2128,0.8182,1.031,0.7936
2007-12-01,2008,Dallas,NewOrleans,108,112,1,195.5,192.5,3.0,3.0,-150,130,0.6,0.4348,1.0348,0.4202
2007-12-01,2008,Detroit,Milwaukee,117,91,0,195.5,192.5,2.5,5.0,-230,190,0.697,0.3448,1.0418,0.331
2007-12-01,2008,Charlotte,Chicago,95,111,1,5.5,7.0,181.0,183.0,275,-325,0.2667,0.7647,1.0314,0.7414
2007-12-01,2008,Houston,Sacramento,99,107,1,194.5,193.0,4.5,6.5,-260,220,0.7222,0.3125,1.0347,0.302
2007-12-02,2008,Cleveland,Boston,70,80,1,10.5,15.0,185.0,184.5,1400,-2800,0.0667,0.9655,1.0322,0.9354
2007-12-02,2008,Indiana,LAClippers,101,95,0,202.0,,1.5,198.0,-110,-110,0.5238,0.5238,1.0476,0.5
2007-12-02,2008,Portland,SanAntonio,79,100,1,15.0,13.5,186.5,188.0,950,-1500,0.0952,0.9375,1.0327,0.9078
2007-12-02,2008,NewJersey,Detroit,95,118,1,8.0,8.0,181.5,184.0,295,-355,0.2532,0.7802,1.0334,0.755
2007-12-02,2008,Phoenix,NewYork,115,104,0,204.5,209.5,9.0,8.5,-400,330,0.8,0.2326,1.0326,0.2253
2007-12-02,2008,Miami,Denver,89,115,1,6.0,5.0,199.0,207.0,185,-215,0.3509,0.6825,1.0334,0.6604
2007-12-02,2008,GoldenState,Seattle,109,96,0,220.0,218.5,6.0,6.0,-260,220,0.7222,0.3125,1.0347,0.302
2007-12-02,2008,Orlando,LALakers,104,97,0,1.5,1.0,211.0,211.0,-105,-115,0.5122,0.5349,1.0471,0.5108
2007-12-03,2008,Atlanta,Philadelphia,88,79,0,1.5,3.0,179.0,180.5,135,-155,0.4255,0.6078,1.0333,0.5882
2007-12-03,2008,Charlotte,Toronto,79,98,1,5.0,4.0,189.0,190.5,155,-175,0.3922,0.6364,1.0286,0.6187
2007-12-03,2008,Portland,Memphis,106,105,0,8.5,8.5,204.5,204.0,355,-425,0.2198,0.8095,1.0293,0.7865
2007-12-03,2008,Dallas,Chicago,103,98,0,188.5,189.0,3.0,3.0,-160,140,0.6154,0.4167,1.0321,0.4037
2007-12-03,2008,Miami,Utah,101,110,1,9.0,10.0,194.0,198.0,475,-600,0.1739,0.8571,1.031,0.8313
2007-12-03,2008,Orlando,GoldenState,123,117,0,1.0,4.0,219.0,217.5,150,-170,0.4,0.6296,1.0296,0.6115
2007-12-04,2008,NewJersey,Cleveland,100,79,0,5.0,182.0,190.0,2.5,135,-155,0.4255,0.6078,1.0333,0.5882
2007-12-04,2008,Detroit,Atlanta,106,95,0,186.0,188.5,5.0,5.5,-240,200,0.7059,0.3333,1.0392,0.3207
2007-12-04,2008,Phoenix,Indiana,121,117,0,219.0,219.0,6.5,6.5,-250,210,0.7143,0.3226,1.0369,0.3111
2007-12-04,2008,LALakers,Minnesota,116,95,0,203.0,205.0,7.5,7.5,-350,290,0.7778,0.2564,1.0342,0.2479
2007-12-04,2008,Utah,Sacramento,107,117,1,207.0,209.0,4.5,2.5,-145,125,0.5918,0.4444,1.0362,0.4289
2007-12-04,2008,Milwaukee,LAClippers,87,78,0,2.0,1.5,193.0,193.0,110,-130,0.4762,0.5652,1.0414,0.5427
2007-12-05,2008,Boston,Philadelphia,113,103,0,182.5,178.5,9.0,9.5,-550,450,0.8462,0.1818,1.028,0.1768
2007-12-05,2008,Cleveland,Washington,86,105,1,9.5,9.5,188.0,189.5,450,-550,0.1818,0.8462,1.028,0.8232
2007-12-05,2008,Chicago,Charlotte,91,82,0,2.5,185.0,184.0,1.0,-120,100,0.5455,0.5,1.0455,0.4782
2007-12-05,2008,Phoenix,Toronto,136,123,0,207.0,207.0,6.5,7.5,-325,275,0.7647,0.2667,1.0314,0.2586
2007-12-05,2008,NewYork,NewJersey,100,93,0,6.5,5.0,183.0,183.5,185,-215,0.3509,0.6825,1.0334,0.6604
2007-12-05,2008,Detroit,NewOrleans,91,76,0,189.0,1.0,1.0,192.0,100,-120,0.5,0.5455,1.0455,0.5218
2007-12-05,2008,Dallas,SanAntonio,95,97,1,,194.5,191.0,2.5,-140,120,0.5833,0.4545,1.0378,0.4379
2007-12-05,2008,Memphis,Houston,92,105,1,9.5,10.5,202.0,202.5,500,-625,0.1667,0.8621,1.0288,0.838
2007-12-05,2008,LALakers,Denver,111,107,0,7.0,8.0,221.5,221.0,315,-375,0.241,0.7895,1.0305,0.7661
2007-12-05,2008,LAClippers,Seattle,88,95,1,3.0,4.0,198.5,195.0,155,-175,0.3922,0.6364,1.0286,0.6187
2007-12-05,2008,Milwaukee,GoldenState,90,120,1,9.0,10.5,219.0,217.5,500,-625,0.1667,0.8621,1.0288,0.838
2007-12-06,2008,Minnesota,Atlanta,89,90,1,9.5,9.0,191.0,188.5,370,-450,0.2128,0.8182,1.031,0.7936
2007-12-06,2008,Denver,Dallas,122,109,0,7.0,8.5,213.5,214.0,330,-400,0.2326,0.8,1.0326,0.7747
2007-12-06,2008,Miami,Portland,106,112,1,187.5,185.0,1.0,3.0,-145,125,0.5918,0.4444,1.0362,0.4289
2007-12-07,2008,NewYork,Philadelphia,90,101,1,4.0,4.0,185.0,186.0,155,-175,0.3922,0.6364,1.0286,0.6187
2007-12-07,2008,Phoenix,Washington,122,107,0,224.0,222.0,6.5,6.5,-270,230,0.7297,0.303,1.0327,0.2934
2007-12-07,2008,Indiana,Orlando,115,109,0,8.5,8.0,214.5,208.5,290,-350,0.2564,0.7778,1.0342,0.7521
2007-12-07,2008,Chicago,Detroit,98,91,0,8.5,7.5,182.5,184.0,290,-350,0.2564,0.7778,1.0342,0.7521
2007-12-07,2008,Toronto,Boston,84,112,1,10.5,12.0,185.0,189.0,850,-1300,0.1053,0.9286,1.0339,0.8982
2007-12-07,2008,Houston,NewJersey,96,89,0,186.5,184.0,4.0,5.0,-215,185,0.6825,0.3509,1.0334,0.3396
2007-12-07,2008,Memphis,NewOrleans,116,118,1,6.5,7.0,200.0,206.0,240,-290,0.2941,0.7436,1.0377,0.7166
2007-12-07,2008,Utah,SanAntonio,98,104,1,1.0,202.5,199.0,1.0,-115,-105,0.5349,0.5122,1.0471,0.4892
2007-12-07,2008,LAClippers,Sacramento,97,87,0,5.0,5.0,195.0,190.5,190,-230,0.3448,0.697,1.0418,0.669
2007-12-07,2008,Miami,GoldenState,113,120,1,8.0,9.0,208.5,213.5,370,-450,0.2128,0.8182,1.031,0.7936
2007-12-07,2008,Milwaukee,Seattle,98,104,1,1.0,,200.5,201.5,-110,-110,0.5238,0.5238,1.0476,0.5
2007-12-08,2008,Cleveland,Charlotte,93,96,1,6.0,8.0,179.0,185.0,300,-360,0.25,0.7826,1.0326,0.7579
2007-12-08,2008,Memphis,Atlanta,78,86,1,4.5,4.0,200.0,204.0,160,-190,0.3846,0.6552,1.0398,0.6301
2007-12-08,2008,Philadelphia,NewYork,105,77,0,5.0,4.5,187.5,187.5,170,-200,0.3704,0.6667,1.0371,0.6429
2007-12-08,2008,Phoenix,Minnesota,93,100,1,213.0,217.0,10.0,10.0,-600,475,0.8571,0.1739,1.031,0.1687
2007-12-08,2008,Utah,Dallas,117,125,1,5.5,6.0,210.0,209.5,225,-265,0.3077,0.726,1.0337,0.7023
2007-12-08,2008,Boston,Chicago,92,81,0,180.0,184.0,4.5,5.5,-240,200,0.7059,0.3333,1.0392,0.3207
2007-12-08,2008,Sacramento,Denver,97,101,1,12.0,14.0,216.5,214.0,1000,-1600,0.0909,0.9412,1.0321,0.9119
2007-12-09,2008,Houston,Toronto,80,93,1,187.5,186.5,2.0,4.0,-190,160,0.6552,0.3846,1.0398,0.3699
2007-12-09,2008,Miami,LAClippers,100,94,0,187.0,187.0,1.5,2.5,-140,120,0.5833,0.4545,1.0378,0.4379
2007-12-09,2008,Milwaukee,Portland,113,117,1,3.0,3.0,190.0,192.5,135,-155,0.4255,0.6078,1.0333,0.5882
