date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month,season_odds,home_ml_prob,away_ml_prob,home_fair_prob,overround,open_spread,close_spread,open_total,close_total,prob_diff,elo_over_market,spread_implied_prob
2012-04-17,2012,PHI,IND,97,102,0,0.5207051,1495.4601,1581.0645,-85.60439999999994,0.0828677869503295,0,1,1,0,0.0,0.5,-5,4,2012,0.6078,0.4255,0.5882,1.0333,3.5,3.5,184.5,184.5,0.0675,0,0.25
2012-04-17,2012,MIN,MEM,84,91,0,0.35945126,1395.3112,1595.676,-200.36479999999983,-0.5777466260229706,1,1,0,-1,0.0,0.3,-7,4,2012,0.2041,0.8305,0.1973,1.0346,194.0,192.5,7.0,9.5,-0.1622,1,0.05
2012-04-17,2012,NYK,BOS,118,110,1,0.55904841,1557.53,1616.3066,-58.77659999999992,0.2373009720322731,0,0,0,0,1.0,0.9,8,4,2012,0.6078,0.4255,0.5882,1.0333,3.0,3.5,182.0,183.0,0.0292,0,0.25
2012-04-17,2012,DET,CLE,116,77,1,0.73451215,1394.6245,1317.8428,76.7817,1.0176374566526962,0,0,0,0,1.0,0.7,39,4,2012,0.7619,0.2778,0.7328,1.0397,6.5,7.0,189.5,192.5,-0.0017,1,0.05
2012-04-17,2012,LAL,SAS,91,112,0,0.57141668,1618.002,1668.0349,-50.03290000000016,0.2876335136202462,0,0,1,1,0.0,0.6,-21,4,2012,0.4444,0.5918,0.4289,1.0362,200.0,198.0,3.0,3.0,-0.1425,1,0.05
2012-04-18,2012,MIA,TOR,96,72,1,0.88028824,1661.2218,1414.6266,246.5952,1.99516253758992,0,0,0,0,1.0,0.8,24,4,2012,0.8571,0.1818,0.825,1.0389,11.5,9.5,188.5,187.0,-0.0553,1,0.05
2012-04-18,2012,SAC,SAS,102,127,0,0.21428792,1362.5033,1688.2096,-325.7062999999998,-1.2992698848459667,1,0,1,1,0.0,0.4,-25,4,2012,0.3636,0.6774,0.3493,1.041,213.0,215.5,3.0,5.0,0.135,0,0.05
2012-04-18,2012,POR,UTA,91,112,0,0.53701085,1458.8022,1533.0374,-74.23519999999985,0.1483146773002045,0,0,0,0,0.0,0.6,-21,4,2012,0.3636,0.6774,0.3493,1.041,198.0,198.5,3.5,5.0,-0.1877,1,0.05
2012-04-18,2012,WAS,MIL,121,112,1,0.39576089,1351.2753,1524.7856,-173.51029999999992,-0.4231597829798121,1,0,0,0,1.0,0.3,9,4,2012,0.2326,0.8077,0.2236,1.0403,204.5,205.0,8.5,8.0,-0.1722,1,0.05
2012-04-18,2012,PHO,OKC,97,109,0,0.49951568,1574.2501,1674.5867,-100.33660000000008,-0.0019372826039578,1,0,0,0,0.0,0.8,-12,4,2012,0.3922,0.6364,0.3813,1.0286,207.0,208.5,3.5,4.0,-0.1182,1,0.05
